Model,PCA,pi,lambda,C,gamma,G0,G1,Accuracy,Error rate,minDCF
Quadratic Logistic Regression,7,0.091,1.0000000,_,_,_,_,92.516,7.484,0.60922
Quadratic Logistic Regression,0,0.100,10.0000000,_,_,_,_,92.344,7.656,0.60928
MVG,9,0.100,_,_,_,_,_,94.366,5.634,0.60928
GMM Tied Diagonal Covariance,6,_,_,_,_,8,2,86.151,13.849,0.60982
MVG,0,0.091,_,_,_,_,_,94.452,5.548,0.60990
Quadratic Logistic Regression,9,0.091,10.0000000,_,_,_,_,91.828,8.172,0.60990
MVG,6,0.091,_,_,_,_,_,94.366,5.634,0.60990
Quadratic Logistic Regression,5,0.091,1.0000000,_,_,_,_,92.000,8.000,0.60990
Quadratic Logistic Regression,5,0.091,10.0000000,_,_,_,_,91.398,8.602,0.60990
Quadratic Logistic Regression,0,0.100,0.1000000,_,_,_,_,93.935,6.065,0.61027
MVG,9,0.091,_,_,_,_,_,94.366,5.634,0.61125
GMM Tied Diagonal Covariance,7,_,_,_,_,8,2,86.280,13.720,0.61238
Quadratic Logistic Regression,8,0.091,10.0000000,_,_,_,_,91.871,8.129,0.61240
GMM Tied Covariance,0,_,_,_,_,8,2,85.978,14.022,0.61266
Polynomial Kernel SVM,9,_,_,1.00000,0.00010,_,_,81.118,18.882,0.61287
Polynomial Kernel SVM,9,_,_,1.00000,0.00100,_,_,81.118,18.882,0.61287
Polynomial Kernel SVM,9,_,_,1.00000,0.01000,_,_,81.118,18.882,0.61287
Polynomial Kernel SVM,9,_,_,1.00000,0.10000,_,_,81.118,18.882,0.61287
Polynomial Kernel SVM,9,_,_,1.00000,1.00000,_,_,81.118,18.882,0.61287
GMM Tied Diagonal Covariance,6,_,_,_,_,8,8,85.032,14.968,0.61357
GMM Tied Diagonal Covariance,5,_,_,_,_,4,8,80.043,19.957,0.61508
GMM Tied Diagonal Covariance,8,_,_,_,_,4,4,84.731,15.269,0.61701
GMM Tied Diagonal Covariance,5,_,_,_,_,8,8,80.000,20.000,0.61797
Quadratic Logistic Regression,5,0.091,0.1000000,_,_,_,_,92.688,7.312,0.61865
Quadratic Logistic Regression,0,0.091,10.0000000,_,_,_,_,91.871,8.129,0.61990
GMM Tied Diagonal Covariance,7,_,_,_,_,4,4,84.602,15.398,0.62076
GMM Tied Covariance,5,_,_,_,_,4,2,85.720,14.280,0.62264
Polynomial Kernel SVM,6,_,_,1.00000,0.00010,_,_,79.226,20.774,0.62410
Polynomial Kernel SVM,6,_,_,1.00000,0.00100,_,_,79.226,20.774,0.62410
Polynomial Kernel SVM,6,_,_,1.00000,0.01000,_,_,79.226,20.774,0.62410
Polynomial Kernel SVM,6,_,_,1.00000,0.10000,_,_,79.226,20.774,0.62410
Polynomial Kernel SVM,6,_,_,1.00000,1.00000,_,_,79.226,20.774,0.62410
Quadratic Logistic Regression,6,0.091,1.0000000,_,_,_,_,92.473,7.527,0.62422
GMM Tied Diagonal Covariance,5,_,_,_,_,4,4,83.871,16.129,0.62482
GMM Tied Diagonal Covariance,9,_,_,_,_,4,4,84.817,15.183,0.62545
GMM Full Covariance,0,_,_,_,_,8,2,87.140,12.860,0.62668
GMM Diagonal Covariance,5,_,_,_,_,8,2,86.452,13.548,0.62760
Quadratic Logistic Regression,0,0.100,1.0000000,_,_,_,_,93.247,6.753,0.62928
Quadratic Logistic Regression,9,0.100,1.0000000,_,_,_,_,93.032,6.968,0.62928
Quadratic SVM,6,_,_,1.00000,0.00010,_,_,77.978,22.022,0.63080
Quadratic SVM,6,_,_,1.00000,0.00100,_,_,77.978,22.022,0.63080
Quadratic SVM,6,_,_,1.00000,0.01000,_,_,77.978,22.022,0.63080
Quadratic SVM,6,_,_,1.00000,0.10000,_,_,77.978,22.022,0.63080
Quadratic SVM,6,_,_,1.00000,1.00000,_,_,77.978,22.022,0.63080
GMM Tied Covariance,5,_,_,_,_,4,8,78.710,21.290,0.63131
Quadratic Logistic Regression,9,0.100,100.0000000,_,_,_,_,89.032,10.968,0.63428
GMM Tied Diagonal Covariance,5,_,_,_,_,8,2,86.194,13.806,0.63645
Quadratic Logistic Regression,9,0.091,1.0000000,_,_,_,_,92.731,7.269,0.63682
Quadratic Logistic Regression,0,0.100,100.0000000,_,_,_,_,89.161,10.839,0.63705
GMM Tied Diagonal Covariance,0,_,_,_,_,8,2,86.065,13.935,0.63803
Quadratic Logistic Regression,5,0.100,100.0000000,_,_,_,_,88.774,11.226,0.63803
Quadratic Logistic Regression,8,0.100,100.0000000,_,_,_,_,89.075,10.925,0.63928
Quadratic Logistic Regression,0,0.091,1.0000000,_,_,_,_,93.032,6.968,0.64115
GMM Diagonal Covariance,7,_,_,_,_,8,2,85.849,14.151,0.64135
Quadratic Logistic Regression,6,0.100,100.0000000,_,_,_,_,88.946,11.054,0.64178
GMM Tied Diagonal Covariance,8,_,_,_,_,8,4,85.204,14.796,0.64418
Quadratic Logistic Regression,7,0.100,100.0000000,_,_,_,_,88.989,11.011,0.64428
GMM Tied Diagonal Covariance,8,_,_,_,_,4,8,85.204,14.796,0.64508
GMM Diagonal Covariance,8,_,_,_,_,8,2,85.892,14.108,0.64543
Quadratic Logistic Regression,9,0.091,100.0000000,_,_,_,_,88.172,11.828,0.64740
GMM Tied Diagonal Covariance,9,_,_,_,_,8,4,85.333,14.667,0.64855
GMM Tied Diagonal Covariance,7,_,_,_,_,8,4,85.032,14.968,0.64947
GMM Tied Diagonal Covariance,6,_,_,_,_,8,4,84.989,15.011,0.65107
Quadratic Logistic Regression,5,0.091,100.0000000,_,_,_,_,88.387,11.613,0.65115
GMM Diagonal Covariance,6,_,_,_,_,8,2,85.763,14.237,0.65135
GMM Tied Diagonal Covariance,9,_,_,_,_,4,8,85.806,14.194,0.65137
Quadratic Logistic Regression,8,0.091,100.0000000,_,_,_,_,88.258,11.742,0.65240
GMM Diagonal Covariance,9,_,_,_,_,8,2,85.462,14.538,0.65293
GMM Tied Diagonal Covariance,7,_,_,_,_,4,8,85.290,14.710,0.65383
Quadratic Logistic Regression,6,0.091,100.0000000,_,_,_,_,88.344,11.656,0.65490
Quadratic Logistic Regression,7,0.091,100.0000000,_,_,_,_,88.344,11.656,0.65740
Quadratic Logistic Regression,0,0.091,100.0000000,_,_,_,_,88.559,11.441,0.65797
Polynomial Kernel SVM,7,_,_,1.00000,0.00010,_,_,79.097,20.903,0.66611
Polynomial Kernel SVM,7,_,_,1.00000,0.00100,_,_,79.097,20.903,0.66611
Polynomial Kernel SVM,7,_,_,1.00000,0.01000,_,_,79.097,20.903,0.66611
Polynomial Kernel SVM,7,_,_,1.00000,0.10000,_,_,79.097,20.903,0.66611
Polynomial Kernel SVM,7,_,_,1.00000,1.00000,_,_,79.097,20.903,0.66611
GMM Tied Covariance,5,_,_,_,_,8,2,84.946,15.054,0.66818
GMM Diagonal Covariance,9,_,_,_,_,2,2,86.065,13.935,0.66861
GMM Diagonal Covariance,5,_,_,_,_,2,2,85.892,14.108,0.67107
MVG,5,0.100,_,_,_,_,_,94.323,5.677,0.67125
MVG,5,0.091,_,_,_,_,_,94.323,5.677,0.67125
GMM Tied Diagonal Covariance,8,_,_,_,_,8,8,85.290,14.710,0.67141
GMM Tied Diagonal Covariance,5,_,_,_,_,8,4,84.430,15.570,0.67205
GMM Diagonal Covariance,7,_,_,_,_,2,2,86.194,13.806,0.67236
GMM Diagonal Covariance,8,_,_,_,_,2,2,86.237,13.763,0.67266
GMM Full Covariance,6,_,_,_,_,2,2,87.269,12.731,0.67273
GMM Full Covariance,7,_,_,_,_,2,2,87.355,12.645,0.67303
GMM Tied Diagonal Covariance,7,_,_,_,_,2,2,86.882,13.118,0.67365
GMM Tied Covariance,8,_,_,_,_,4,4,84.000,16.000,0.67391
GMM Diagonal Covariance,6,_,_,_,_,2,2,86.108,13.892,0.67607
GMM Full Covariance,9,_,_,_,_,2,2,86.882,13.118,0.67615
GMM Tied Diagonal Covariance,5,_,_,_,_,2,2,86.409,13.591,0.67617
Linear Logistic Regression,5,0.100,0.0000010,_,_,_,_,87.484,12.516,0.67625
Linear Logistic Regression,5,0.100,0.0001000,_,_,_,_,87.484,12.516,0.67625
Linear Logistic Regression,5,0.100,0.0010000,_,_,_,_,87.441,12.559,0.67625
Linear Logistic Regression,5,0.091,0.0000010,_,_,_,_,87.312,12.688,0.67625
Linear Logistic Regression,5,0.091,0.0001000,_,_,_,_,87.312,12.688,0.67625
Linear Logistic Regression,5,0.091,0.0010000,_,_,_,_,87.312,12.688,0.67625
Linear Logistic Regression,5,0.091,0.1000000,_,_,_,_,86.366,13.634,0.67625
GMM Tied Diagonal Covariance,9,_,_,_,_,2,2,86.968,13.032,0.67645
GMM Tied Diagonal Covariance,7,_,_,_,_,8,8,85.204,14.796,0.67859
GMM Tied Diagonal Covariance,8,_,_,_,_,2,2,86.882,13.118,0.67895
Linear Logistic Regression,5,0.100,0.1000000,_,_,_,_,86.968,13.032,0.68125
Linear Logistic Regression,8,0.100,1.0000000,_,_,_,_,79.441,20.559,0.68250
Linear Logistic Regression,8,0.091,1.0000000,_,_,_,_,77.978,22.022,0.68250
Quadratic SVM,5,_,_,1.00000,0.00010,_,_,82.237,17.763,0.68297
Quadratic SVM,5,_,_,1.00000,0.00100,_,_,82.237,17.763,0.68297
Quadratic SVM,5,_,_,1.00000,0.01000,_,_,82.237,17.763,0.68297
Quadratic SVM,5,_,_,1.00000,0.10000,_,_,82.237,17.763,0.68297
Quadratic SVM,5,_,_,1.00000,1.00000,_,_,82.237,17.763,0.68297
GMM Tied Covariance,5,_,_,_,_,8,8,78.925,21.075,0.68426
GMM Full Covariance,0,_,_,_,_,2,2,87.441,12.559,0.68490
GMM Tied Diagonal Covariance,0,_,_,_,_,4,2,84.344,15.656,0.68490
GMM Tied Diagonal Covariance,9,_,_,_,_,8,8,85.591,14.409,0.68727
Linear Logistic Regression,9,0.100,1.0000000,_,_,_,_,79.398,20.602,0.68750
Linear Logistic Regression,9,0.091,1.0000000,_,_,_,_,78.065,21.935,0.68750
Linear Logistic Regression,7,0.091,1.0000000,_,_,_,_,77.978,22.022,0.68750
GMM Tied Diagonal Covariance,6,_,_,_,_,2,2,86.796,13.204,0.68801
Linear Logistic Regression,7,0.100,1.0000000,_,_,_,_,79.484,20.516,0.68875
MVG with tied covariance,5,0.100,_,_,_,_,_,90.452,9.548,0.68875
MVG with tied covariance,5,0.091,_,_,_,_,_,90.452,9.548,0.68875
Linear Logistic Regression,6,0.091,1.0000000,_,_,_,_,77.978,22.022,0.69500
GMM Full Covariance,8,_,_,_,_,2,2,87.140,12.860,0.69549
Linear Logistic Regression,0,0.091,1.0000000,_,_,_,_,78.366,21.634,0.69625
Linear Logistic Regression,9,0.091,0.1000000,_,_,_,_,86.237,13.763,0.69625
Linear Logistic Regression,8,0.100,0.1000000,_,_,_,_,86.925,13.075,0.69625
Linear Logistic Regression,8,0.091,0.1000000,_,_,_,_,86.624,13.376,0.69625
Linear Logistic Regression,6,0.100,1.0000000,_,_,_,_,79.398,20.602,0.69625
Linear Logistic Regression,9,0.100,0.1000000,_,_,_,_,86.710,13.290,0.69750
Linear Logistic Regression,5,0.100,1.0000000,_,_,_,_,79.269,20.731,0.70000
Linear Logistic Regression,5,0.091,1.0000000,_,_,_,_,77.720,22.280,0.70000
Linear Logistic Regression,0,0.100,1.0000000,_,_,_,_,79.570,20.430,0.70125
Linear Logistic Regression,7,0.091,0.1000000,_,_,_,_,86.581,13.419,0.70125
Linear Logistic Regression,8,0.100,0.0000010,_,_,_,_,87.484,12.516,0.70152
Linear Logistic Regression,8,0.100,0.0001000,_,_,_,_,87.441,12.559,0.70152
Linear Logistic Regression,8,0.100,0.0010000,_,_,_,_,87.441,12.559,0.70152
Radial Basis Function Kernel SVM,8,_,_,0.00010,0.10000,_,_,65.591,34.409,0.70184
Linear Logistic Regression,7,0.100,0.1000000,_,_,_,_,87.011,12.989,0.70250
GMM Tied Covariance,6,_,_,_,_,2,2,86.667,13.333,0.70449
GMM Tied Covariance,7,_,_,_,_,4,8,79.828,20.172,0.70480
Linear Logistic Regression,6,0.091,0.1000000,_,_,_,_,86.538,13.462,0.70500
Linear Logistic Regression,8,0.091,0.0000010,_,_,_,_,87.226,12.774,0.70557
Linear Logistic Regression,8,0.091,0.0001000,_,_,_,_,87.226,12.774,0.70557
Linear Logistic Regression,8,0.091,0.0010000,_,_,_,_,87.226,12.774,0.70557
Linear Logistic Regression,6,0.100,0.1000000,_,_,_,_,87.226,12.774,0.70625
GMM Tied Covariance,7,_,_,_,_,2,2,86.538,13.462,0.70855
Linear Logistic Regression,7,0.100,0.0000010,_,_,_,_,87.613,12.387,0.70902
Linear Logistic Regression,7,0.100,0.0001000,_,_,_,_,87.613,12.387,0.70902
Linear Logistic Regression,7,0.100,0.0010000,_,_,_,_,87.613,12.387,0.70902
Linear Logistic Regression,9,0.100,0.0000010,_,_,_,_,87.785,12.215,0.71000
Linear Logistic Regression,9,0.100,0.0001000,_,_,_,_,87.785,12.215,0.71000
Linear Logistic Regression,9,0.100,0.0010000,_,_,_,_,87.785,12.215,0.71000
MVG with tied covariance,0,0.100,_,_,_,_,_,90.839,9.161,0.71027
Linear Logistic Regression,6,0.100,0.0000010,_,_,_,_,87.484,12.516,0.71027
Linear Logistic Regression,6,0.100,0.0001000,_,_,_,_,87.484,12.516,0.71027
Linear Logistic Regression,6,0.100,0.0010000,_,_,_,_,87.484,12.516,0.71027
GMM Tied Covariance,7,_,_,_,_,4,4,83.699,16.301,0.71137
Linear Logistic Regression,9,0.091,0.0000010,_,_,_,_,87.312,12.688,0.71250
Linear Logistic Regression,9,0.091,0.0001000,_,_,_,_,87.312,12.688,0.71250
Linear Logistic Regression,9,0.091,0.0010000,_,_,_,_,87.312,12.688,0.71250
Linear Logistic Regression,0,0.100,0.1000000,_,_,_,_,86.925,13.075,0.71375
Linear Logistic Regression,0,0.091,0.1000000,_,_,_,_,86.667,13.333,0.71375
MVG with tied covariance,8,0.100,_,_,_,_,_,90.839,9.161,0.71402
Linear Logistic Regression,7,0.100,10.0000000,_,_,_,_,65.591,34.409,0.71500
Linear Logistic Regression,7,0.091,0.0001000,_,_,_,_,87.398,12.602,0.71500
Linear Logistic Regression,7,0.091,0.0010000,_,_,_,_,87.398,12.602,0.71500
Linear Logistic Regression,6,0.091,0.0000010,_,_,_,_,87.441,12.559,0.71557
Linear Logistic Regression,6,0.091,0.0001000,_,_,_,_,87.441,12.559,0.71557
Linear Logistic Regression,8,0.091,10.0000000,_,_,_,_,65.591,34.409,0.71625
Linear Logistic Regression,7,0.091,0.0000010,_,_,_,_,87.398,12.602,0.71625
Linear Logistic Regression,7,0.091,10.0000000,_,_,_,_,65.591,34.409,0.71625
MVG with tied covariance,0,0.091,_,_,_,_,_,90.839,9.161,0.71682
Linear Logistic Regression,6,0.091,0.0010000,_,_,_,_,87.441,12.559,0.71682
Linear Logistic Regression,8,0.100,10.0000000,_,_,_,_,65.591,34.409,0.71750
Linear Logistic Regression,6,0.100,10.0000000,_,_,_,_,65.591,34.409,0.71750
Linear Logistic Regression,0,0.100,0.0000010,_,_,_,_,87.785,12.215,0.71777
Linear Logistic Regression,0,0.100,0.0001000,_,_,_,_,87.785,12.215,0.71777
Linear Logistic Regression,0,0.100,0.0010000,_,_,_,_,87.785,12.215,0.71777
MVG with tied covariance,9,0.100,_,_,_,_,_,90.882,9.118,0.71777
Linear Logistic Regression,9,0.100,10.0000000,_,_,_,_,65.591,34.409,0.71875
Linear Logistic Regression,9,0.091,10.0000000,_,_,_,_,65.591,34.409,0.71875
Linear Logistic Regression,6,0.091,10.0000000,_,_,_,_,65.591,34.409,0.71875
MVG with tied covariance,8,0.091,_,_,_,_,_,90.839,9.161,0.72057
Linear Logistic Regression,0,0.091,0.0010000,_,_,_,_,87.398,12.602,0.72182
Linear Logistic Regression,0,0.091,0.0000010,_,_,_,_,87.398,12.602,0.72250
Linear Logistic Regression,0,0.091,0.0001000,_,_,_,_,87.398,12.602,0.72250
GMM Tied Covariance,0,_,_,_,_,2,2,86.065,13.935,0.72262
MVG with tied covariance,6,0.100,_,_,_,_,_,90.882,9.118,0.72402
MVG with tied covariance,9,0.091,_,_,_,_,_,90.882,9.118,0.72432
GMM Tied Covariance,0,_,_,_,_,4,4,83.355,16.645,0.72463
MVG with tied covariance,7,0.100,_,_,_,_,_,90.882,9.118,0.72527
GMM Diagonal Covariance,0,_,_,_,_,4,2,86.022,13.978,0.72607
GMM Tied Covariance,8,_,_,_,_,4,8,80.989,19.011,0.72621
GMM Tied Covariance,6,_,_,_,_,4,4,81.290,18.710,0.72955
Linear Logistic Regression,5,0.100,10.0000000,_,_,_,_,65.591,34.409,0.73000
GMM Tied Diagonal Covariance,0,_,_,_,_,8,4,82.151,17.849,0.73053
MVG with tied covariance,6,0.091,_,_,_,_,_,90.882,9.118,0.73057
Linear Logistic Regression,0,0.100,10.0000000,_,_,_,_,65.591,34.409,0.73125
Linear Logistic Regression,0,0.091,10.0000000,_,_,_,_,65.591,34.409,0.73125
Linear Logistic Regression,5,0.091,10.0000000,_,_,_,_,65.591,34.409,0.73125
GMM Tied Covariance,9,_,_,_,_,2,2,86.409,13.591,0.73166
MVG with tied covariance,7,0.091,_,_,_,_,_,90.882,9.118,0.73182
GMM Tied Covariance,8,_,_,_,_,2,2,86.452,13.548,0.73418
GMM Full Covariance,7,_,_,_,_,8,4,81.247,18.753,0.73732
GMM Full Covariance,5,_,_,_,_,2,2,86.581,13.419,0.73852
Naive Bayes,6,0.100,_,_,_,_,_,94.409,5.591,0.73928
GMM Tied Covariance,9,_,_,_,_,4,4,83.312,16.688,0.73963
Naive Bayes,7,0.100,_,_,_,_,_,94.323,5.677,0.74205
GMM Tied Covariance,8,_,_,_,_,8,4,83.226,16.774,0.74428
GMM Tied Diagonal Covariance,5,_,_,_,_,2,8,78.624,21.376,0.74609
Linear Logistic Regression,0,0.100,100.0000000,_,_,_,_,65.591,34.409,0.74625
Linear Logistic Regression,0,0.091,100.0000000,_,_,_,_,65.591,34.409,0.74625
Naive Bayes,9,0.100,_,_,_,_,_,94.194,5.806,0.74830
Linear Logistic Regression,7,0.100,100.0000000,_,_,_,_,65.591,34.409,0.74875
Linear Logistic Regression,7,0.091,100.0000000,_,_,_,_,65.591,34.409,0.74875
Linear Logistic Regression,9,0.100,100.0000000,_,_,_,_,65.591,34.409,0.75125
Linear Logistic Regression,8,0.100,100.0000000,_,_,_,_,65.591,34.409,0.75125
Naive Bayes,6,0.091,_,_,_,_,_,94.409,5.591,0.75240
Linear Logistic Regression,9,0.091,100.0000000,_,_,_,_,65.591,34.409,0.75250
Linear Logistic Regression,8,0.091,100.0000000,_,_,_,_,65.591,34.409,0.75250
GMM Tied Diagonal Covariance,7,_,_,_,_,2,4,83.656,16.344,0.75336
Naive Bayes,8,0.100,_,_,_,_,_,94.280,5.720,0.75455
Linear Logistic Regression,6,0.100,100.0000000,_,_,_,_,65.591,34.409,0.75500
Linear Logistic Regression,6,0.091,100.0000000,_,_,_,_,65.591,34.409,0.75625
GMM Tied Diagonal Covariance,8,_,_,_,_,2,4,83.613,16.387,0.75775
GMM Tied Diagonal Covariance,6,_,_,_,_,2,4,83.398,16.602,0.75836
GMM Tied Diagonal Covariance,5,_,_,_,_,2,4,82.581,17.419,0.75836
Naive Bayes,7,0.091,_,_,_,_,_,94.323,5.677,0.76172
GMM Tied Diagonal Covariance,6,_,_,_,_,2,8,82.882,17.118,0.76273
Naive Bayes,9,0.091,_,_,_,_,_,94.194,5.806,0.76432
GMM Full Covariance,7,_,_,_,_,4,4,80.645,19.355,0.76543
Naive Bayes,8,0.091,_,_,_,_,_,94.280,5.720,0.76557
GMM Tied Diagonal Covariance,0,_,_,_,_,4,4,80.129,19.871,0.76584
Linear Logistic Regression,5,0.100,100.0000000,_,_,_,_,65.591,34.409,0.76625
Linear Logistic Regression,5,0.091,100.0000000,_,_,_,_,65.591,34.409,0.76625
GMM Tied Covariance,8,_,_,_,_,8,8,80.731,19.269,0.76980
GMM Tied Diagonal Covariance,9,_,_,_,_,2,4,83.613,16.387,0.76990
GMM Tied Diagonal Covariance,0,_,_,_,_,8,8,79.957,20.043,0.77111
GMM Tied Diagonal Covariance,7,_,_,_,_,2,8,83.527,16.473,0.77330
GMM Tied Diagonal Covariance,8,_,_,_,_,2,8,83.312,16.688,0.77336
Naive Bayes with tied covariance,8,0.100,_,_,_,_,_,89.204,10.796,0.77500
Naive Bayes with tied covariance,8,0.091,_,_,_,_,_,89.204,10.796,0.77500
GMM Tied Covariance,7,_,_,_,_,8,8,79.828,20.172,0.77828
Naive Bayes with tied covariance,7,0.100,_,_,_,_,_,89.204,10.796,0.77875
Naive Bayes with tied covariance,7,0.091,_,_,_,_,_,89.204,10.796,0.77875
Naive Bayes with tied covariance,9,0.100,_,_,_,_,_,89.118,10.882,0.78000
Naive Bayes with tied covariance,9,0.091,_,_,_,_,_,89.118,10.882,0.78000
Naive Bayes with tied covariance,6,0.100,_,_,_,_,_,89.290,10.710,0.78000
Naive Bayes with tied covariance,6,0.091,_,_,_,_,_,89.290,10.710,0.78000
GMM Tied Diagonal Covariance,0,_,_,_,_,4,8,78.280,21.720,0.78027
GMM Tied Diagonal Covariance,9,_,_,_,_,2,8,83.484,16.516,0.78135
Naive Bayes with tied covariance,5,0.100,_,_,_,_,_,89.161,10.839,0.78500
Naive Bayes with tied covariance,5,0.091,_,_,_,_,_,89.161,10.839,0.78500
Naive Bayes,5,0.100,_,_,_,_,_,94.495,5.505,0.78652
GMM Tied Covariance,7,_,_,_,_,8,4,82.882,17.118,0.78820
Quadratic SVM,8,_,_,1.00000,0.00010,_,_,78.753,21.247,0.78965
Quadratic SVM,8,_,_,1.00000,0.00100,_,_,78.753,21.247,0.78965
Quadratic SVM,8,_,_,1.00000,0.01000,_,_,78.753,21.247,0.78965
Quadratic SVM,8,_,_,1.00000,0.10000,_,_,78.753,21.247,0.78965
Quadratic SVM,8,_,_,1.00000,1.00000,_,_,78.753,21.247,0.78965
GMM Tied Covariance,9,_,_,_,_,4,8,80.860,19.140,0.78990
Naive Bayes with tied covariance,0,0.100,_,_,_,_,_,88.473,11.527,0.79027
Naive Bayes,5,0.091,_,_,_,_,_,94.495,5.505,0.79307
GMM Tied Covariance,0,_,_,_,_,8,4,82.753,17.247,0.79336
GMM Tied Covariance,5,_,_,_,_,4,4,79.011,20.989,0.79576
Radial Basis Function Kernel SVM,6,_,_,0.00010,0.10000,_,_,65.591,34.409,0.79625
Naive Bayes with tied covariance,0,0.091,_,_,_,_,_,88.473,11.527,0.79682
GMM Tied Covariance,9,_,_,_,_,8,4,82.237,17.763,0.79791
GMM Tied Covariance,0,_,_,_,_,4,8,78.667,21.333,0.79836
Naive Bayes,0,0.100,_,_,_,_,_,92.301,7.699,0.79955
Radial Basis Function Kernel SVM,7,_,_,0.10000,0.10000,_,_,65.591,34.409,0.80250
Radial Basis Function Kernel SVM,7,_,_,0.00010,0.10000,_,_,65.591,34.409,0.80375
GMM Full Covariance,8,_,_,_,_,4,4,85.333,14.667,0.81102
GMM Tied Covariance,5,_,_,_,_,2,2,86.065,13.935,0.81256
GMM Tied Covariance,6,_,_,_,_,4,8,76.645,23.355,0.81293
GMM Full Covariance,8,_,_,_,_,8,4,85.376,14.624,0.81754
Naive Bayes,0,0.091,_,_,_,_,_,92.301,7.699,0.81922
GMM Tied Covariance,6,_,_,_,_,8,4,80.731,19.269,0.82035
GMM Diagonal Covariance,0,_,_,_,_,2,2,82.796,17.204,0.83615
GMM Tied Covariance,9,_,_,_,_,8,8,80.172,19.828,0.84086
GMM Tied Covariance,5,_,_,_,_,2,8,77.806,22.194,0.84201
GMM Tied Covariance,0,_,_,_,_,8,8,79.054,20.946,0.84525
GMM Tied Covariance,5,_,_,_,_,8,4,79.398,20.602,0.85367
Radial Basis Function Kernel SVM,7,_,_,0.00100,0.10000,_,_,65.591,34.409,0.85400
GMM Full Covariance,9,_,_,_,_,8,4,84.344,15.656,0.85895
GMM Tied Covariance,7,_,_,_,_,2,4,81.978,18.022,0.85992
Radial Basis Function Kernel SVM,9,_,_,0.00010,0.00100,_,_,65.591,34.409,0.86465
GMM Tied Diagonal Covariance,0,_,_,_,_,2,2,81.806,18.194,0.86678
GMM Tied Covariance,8,_,_,_,_,2,8,79.785,20.215,0.87145
GMM Tied Covariance,6,_,_,_,_,8,8,76.473,23.527,0.87182
GMM Tied Covariance,8,_,_,_,_,2,4,83.054,16.946,0.87426
GMM Tied Covariance,0,_,_,_,_,2,4,82.194,17.806,0.87770
GMM Full Covariance,0,_,_,_,_,4,4,84.258,15.742,0.87795
GMM Tied Covariance,9,_,_,_,_,2,4,82.366,17.634,0.87803
GMM Full Covariance,9,_,_,_,_,4,4,83.914,16.086,0.88096
GMM Diagonal Covariance,0,_,_,_,_,8,2,84.860,15.140,0.88141
GMM Full Covariance,0,_,_,_,_,8,4,84.172,15.828,0.88504
GMM Tied Covariance,7,_,_,_,_,2,8,78.366,21.634,0.88955
GMM Tied Covariance,6,_,_,_,_,2,4,79.957,20.043,0.89367
GMM Tied Covariance,6,_,_,_,_,2,8,74.065,25.935,0.89492
GMM Tied Covariance,5,_,_,_,_,2,4,77.634,22.366,0.91373
GMM Full Covariance,5,_,_,_,_,8,4,80.516,19.484,0.91393
GMM Full Covariance,7,_,_,_,_,2,4,78.366,21.634,0.91863
GMM Tied Covariance,9,_,_,_,_,2,8,78.925,21.075,0.92057
Radial Basis Function Kernel SVM,9,_,_,0.00010,0.00010,_,_,65.591,34.409,0.92176
Radial Basis Function Kernel SVM,6,_,_,0.00010,0.00010,_,_,65.591,34.409,0.92334
Radial Basis Function Kernel SVM,8,_,_,0.00010,0.00010,_,_,65.591,34.409,0.92395
GMM Tied Diagonal Covariance,5,_,_,_,_,1,8,73.075,26.925,0.92498
Radial Basis Function Kernel SVM,7,_,_,0.00010,0.00010,_,_,65.591,34.409,0.92619
Radial Basis Function Kernel SVM,0,_,_,0.00010,0.00010,_,_,65.591,34.409,0.92645
GMM Full Covariance,8,_,_,_,_,2,4,84.086,15.914,0.92834
Radial Basis Function Kernel SVM,5,_,_,0.00010,0.00010,_,_,65.591,34.409,0.92959
GMM Full Covariance,5,_,_,_,_,4,4,79.785,20.215,0.92982
GMM Tied Covariance,0,_,_,_,_,2,8,77.204,22.796,0.93680
GMM Tied Covariance,6,_,_,_,_,1,2,80.903,19.097,0.94652
GMM Full Covariance,9,_,_,_,_,2,4,82.409,17.591,0.94678
GMM Tied Covariance,8,_,_,_,_,1,2,80.430,19.570,0.94840
GMM Tied Covariance,5,_,_,_,_,1,8,74.151,25.849,0.94936
GMM Tied Covariance,7,_,_,_,_,1,2,80.645,19.355,0.95215
GMM Tied Covariance,0,_,_,_,_,1,2,80.129,19.871,0.95434
GMM Tied Diagonal Covariance,0,_,_,_,_,1,2,80.688,19.312,0.95650
GMM Tied Covariance,9,_,_,_,_,1,2,80.301,19.699,0.95734
GMM Full Covariance,0,_,_,_,_,2,4,83.355,16.645,0.95736
GMM Diagonal Covariance,0,_,_,_,_,1,2,81.376,18.624,0.97643
GMM Tied Diagonal Covariance,0,_,_,_,_,2,8,76.301,23.699,0.97711
GMM Tied Covariance,5,_,_,_,_,1,2,79.355,20.645,0.97840
GMM Tied Diagonal Covariance,6,_,_,_,_,1,8,76.602,23.398,0.98684
GMM Tied Diagonal Covariance,8,_,_,_,_,1,8,75.527,24.473,0.99029
GMM Tied Covariance,0,_,_,_,_,1,4,75.527,24.473,0.99250
GMM Full Covariance,0,_,_,_,_,1,2,79.484,20.516,0.99270
GMM Tied Diagonal Covariance,7,_,_,_,_,1,8,75.269,24.731,0.99277
